Ajankohta (vvvv/kk);Hallinnonala;Kirjanpitoyksikkö;Taso2 virasto;VHSvirasto;Organisaatio 1;Organisaatio 2;Organisaatio 3;Palvelussuhteiden lukumäärä
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Kiinteistötoimisto;Kiinteistönhoito;9
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Kiinteistötoimisto;Siivoustoimi1;13
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Kiinteistötoimisto;Siivoustoimi2;13
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Kiinteistötoimisto;Siivoustoimi3;12
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Kiinteistötoimisto;Talotekniikka;7
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Kiinteistötoimisto;;9
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Palvelukeskus;Asiointi- ja logistiikkapalvelut;18
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Palvelukeskus;Henkilöstöpalvelut;6
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Palvelukeskus;It-palvelut;16
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Palvelukeskus;Kokous- ja tapahtumapalvelut;11
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Palvelukeskus;;7
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Taloushallinto;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Tietohallintotoimisto;Perustietotekniikka;9
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Tietohallintotoimisto;Tietojärjestelmät;9
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Tietohallintotoimisto;;3
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;Työterveysasema;;7
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Hallinto- ja palveluosasto;;;9
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Kansainvälinen osasto;Euroopan neuvosto ja Etyj -tiimit;;5
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Kansainvälinen osasto;Pohjoismaiden neuvosto -tiimi;;6
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Kansainvälinen osasto;;;10
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Keskuskanslia;Asiakirjatoimisto;Monistamo;5
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Keskuskanslia;Asiakirjatoimisto;;10
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Keskuskanslia;Kanslia-avustajat;;5
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Keskuskanslia;Pöytäkirjatoimisto;;20
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Keskuskanslia;Ruotsin kielen toimisto;;15
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Keskuskanslia;;;9
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Tieto- ja viestintäosasto;Eduskunnan kirjasto;Arkistopalvelu;7
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Tieto- ja viestintäosasto;Eduskunnan kirjasto;Kokoelmapalvelu;9
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Tieto- ja viestintäosasto;Eduskunnan kirjasto;Neuvonta- ja tietopalvelu;16
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Tieto- ja viestintäosasto;Eduskunnan kirjasto;;4
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Tieto- ja viestintäosasto;Kansalaispalvelut;;7
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Tieto- ja viestintäosasto;Sisäinen tietopalvelu;;14
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Tieto- ja viestintäosasto;;;10
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Turvallisuusosasto;Puhemiesten autonkuljettajat;;5
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Turvallisuusosasto;Sisäänkäyntien turvallisuus ja palvelut;;11
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Turvallisuusosasto;Toimistopalvelut;;4
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Turvallisuusosasto;Turvallisuusvalvomo;;20
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Turvallisuusosasto;;;2
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Hallintovaliokunta;;5
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Lakivaliokunta;;3
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Liikenne- ja viestintävaliokunta;;4
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Maa- ja metsätalousvaliokunta;;3
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Perustuslakivaliokunta;;6
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Puolustusvaliokunta;;3
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Sivistysvaliokunta;;3
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Sosiaali- ja terveysvaliokunta;;3
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Suuri valiokunta;;6
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Talousvaliokunta;;4
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Tarkastusvaliokunta;;4
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Tulevaisuusvaliokunta;;2
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Työelämä- ja tasa-arvovaliokunta;;2
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Ulkoasiainvaliokunta;;5
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Valtiovarainvaliokunta;;7
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;Ympäristövaliokunta;;4
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;Valiokuntasihteeristö;;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan kanslia;Eduskunnan kanslia;;;;148
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan oikeusasiamiehen kanslia;Eduskunnan oikeusasiamiehen kanslia;Johtajan sijainen;;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan oikeusasiamiehen kanslia;Eduskunnan oikeusasiamiehen kanslia;Tekninen esimies 10;;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan oikeusasiamiehen kanslia;Eduskunnan oikeusasiamiehen kanslia;Tekninen esimies 11;;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan oikeusasiamiehen kanslia;Eduskunnan oikeusasiamiehen kanslia;Tekninen esimies 14;;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan oikeusasiamiehen kanslia;Eduskunnan oikeusasiamiehen kanslia;Tekninen esimies 15;;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan oikeusasiamiehen kanslia;Eduskunnan oikeusasiamiehen kanslia;Tekninen esimies 2;;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan oikeusasiamiehen kanslia;Eduskunnan oikeusasiamiehen kanslia;Tekninen esimies 3;;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan oikeusasiamiehen kanslia;Eduskunnan oikeusasiamiehen kanslia;Tekninen esimies 5;;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan oikeusasiamiehen kanslia;Eduskunnan oikeusasiamiehen kanslia;Tekninen esimies 6;;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan oikeusasiamiehen kanslia;Eduskunnan oikeusasiamiehen kanslia;Tekninen esimies 7;;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan oikeusasiamiehen kanslia;Eduskunnan oikeusasiamiehen kanslia;Tekninen esimies 8;;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan oikeusasiamiehen kanslia;Eduskunnan oikeusasiamiehen kanslia;Tekninen esimies 9;;;1
2017/ 05;Eduskunta (hala);Eduskunta;Eduskunnan oikeusasiamiehen kanslia;Eduskunnan oikeusasiamiehen kanslia;;;;49
2017/ 05;Eduskunta (hala);Ulkopoliittinen instituutti;Ulkopoliittinen instituutti;Ulkopoliittinen instituutti;Ulkopoliittinen instituutti III;;;1
2017/ 05;Eduskunta (hala);Ulkopoliittinen instituutti;Ulkopoliittinen instituutti;Ulkopoliittinen instituutti;;;;45
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Hallintoyksikkö;ICT;;5
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Hallintoyksikkö;;;12
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Johdon tuki;Viestintä;;7
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Johdon tuki;;;4
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Tilintarkastuksen ja laillisuustarkastuk;TL tarkastusryhmä 1;;11
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Tilintarkastuksen ja laillisuustarkastuk;TL tarkastusryhmä 2;;11
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Tilintarkastuksen ja laillisuustarkastuk;TL tarkastusryhmä 3;;8
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Tilintarkastuksen ja laillisuustarkastuk;TL tarkastusryhmä 4;;10
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Tilintarkastuksen ja laillisuustarkastuk;TL tarkastusryhmä 5;;12
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Tilintarkastuksen ja laillisuustarkastuk;;;2
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Tuloksellisuustarkastuksen ja finanssipo;TF tarkastusryhmä 1;;18
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Tuloksellisuustarkastuksen ja finanssipo;TF tarkastusryhmä 2;;19
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Tuloksellisuustarkastuksen ja finanssipo;TF tarkastusryhmä 3;;20
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Tuloksellisuustarkastuksen ja finanssipo;;;1
2017/ 05;Eduskunta (hala);Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;Valtiontalouden tarkastusvirasto;;;;7
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Hallinto;Hallintopalvelut;;14
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Hallinto;Henkilöstön kehittämispalvelut;;7
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Hallinto;Taloushallinto;;5
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Hallinto;Toimitilapalvelut;;8
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Hallinto;;;3
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Asiakaspalvelut;Asiakasratkaisut;11
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Asiakaspalvelut;Ilmailu ja puolustusvoimat;5
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Asiakaspalvelut;Liikenne ja media;4
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Asiakaspalvelut;Turvallisuus;6
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Asiakaspalvelut;;4
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Havaintopalvelut;FINNARP;4
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Havaintopalvelut;Havainnontarkastus;9
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Havaintopalvelut;Havainnot;15
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Havaintopalvelut;Havaintotekniikka;18
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Havaintopalvelut;Havaintoverkot;14
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Havaintopalvelut;Laboratoriopalvelut;8
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Havaintopalvelut;Menetelmät ja sovellukset;10
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Havaintopalvelut;Meritekniset palvelut;8
2017/ 05;Liikenne- ja viestintäministeriö (hala);Ilmatieteen laitos;Ilmatieteen laitos;Ilmatieteen laitos;Sää ja turvallisuus;Havaintopalvelut;;4
