lat;long;Maakunta;Kunta;Taso2 virasto;Palvelussuhteiden lukumäärä 12/2016
59.921;20.910;Ahvenanmaa;Kökar;Rajavartiolaitos;7
60.099;19.944;Ahvenanmaa;Maarianhamina;Käräjäoikeudet;13
60.099;19.944;Ahvenanmaa;Maarianhamina;Liikenteen turvallisuusvirasto;2
60.099;19.944;Ahvenanmaa;Maarianhamina;Lounais-Suomen aluehallintovirasto;1
60.099;19.944;Ahvenanmaa;Maarianhamina;Maanmittauslaitos;14
60.099;19.944;Ahvenanmaa;Maarianhamina;Oikeusapu- ja edunvalvontapiirit;5
60.099;19.944;Ahvenanmaa;Maarianhamina;Rajavartiolaitos;26
60.099;19.944;Ahvenanmaa;Maarianhamina;Statens ämbetsverk på Åland;15
60.099;19.944;Ahvenanmaa;Maarianhamina;Syyttäjänvirastot;4
60.099;19.944;Ahvenanmaa;Maarianhamina;Tulli;30
60.099;19.944;Ahvenanmaa;Maarianhamina;Ulosottovirastot;8
60.099;19.944;Ahvenanmaa;Maarianhamina;Verohallinto;21
61.193;28.776;Etelä-Karjala;Imatra;ELY-keskusten ja TE-toimistojen kehittämis- ja hallintokeskus;1
61.193;28.776;Etelä-Karjala;Imatra;Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus;1
61.193;28.776;Etelä-Karjala;Imatra;Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus ;2
61.193;28.776;Etelä-Karjala;Imatra;Käräjäoikeudet;17
61.193;28.776;Etelä-Karjala;Imatra;Oikeusapu- ja edunvalvontapiirit;9
61.193;28.776;Etelä-Karjala;Imatra;Paikallispoliisi;85
61.193;28.776;Etelä-Karjala;Imatra;Rajavartiolaitos;346
61.193;28.776;Etelä-Karjala;Imatra;Tulli;74
61.193;28.776;Etelä-Karjala;Imatra;Työ- ja elinkeinotoimistot;26
61.193;28.776;Etelä-Karjala;Imatra;Valtion tieto- ja viestintätekniikkakeskus Valtori;6
61.193;28.776;Etelä-Karjala;Imatra;Verohallinto;14
61.067;28.183;Etelä-Karjala;Lappeenranta;ELY-keskusten ja TE-toimistojen kehittämis- ja hallintokeskus;5
61.067;28.183;Etelä-Karjala;Lappeenranta;Elintarviketurvallisuusvirasto;9
61.067;28.183;Etelä-Karjala;Lappeenranta;Etelä-Suomen aluehallintovirasto;17
61.067;28.183;Etelä-Karjala;Lappeenranta;Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus ;10
61.067;28.183;Etelä-Karjala;Lappeenranta;Käräjäoikeudet;32
61.067;28.183;Etelä-Karjala;Lappeenranta;Liikenne- ja viestintäministeriö;3
61.067;28.183;Etelä-Karjala;Lappeenranta;Liikennevirasto;85
61.067;28.183;Etelä-Karjala;Lappeenranta;Liikenteen turvallisuusvirasto;15
61.067;28.183;Etelä-Karjala;Lappeenranta;Maahanmuuttovirasto;81
61.067;28.183;Etelä-Karjala;Lappeenranta;Maanmittauslaitos;22
61.067;28.183;Etelä-Karjala;Lappeenranta;Maistraatit;19
61.067;28.183;Etelä-Karjala;Lappeenranta;Oikeusapu- ja edunvalvontapiirit;21
61.067;28.183;Etelä-Karjala;Lappeenranta;Paikallispoliisi;106
61.067;28.183;Etelä-Karjala;Lappeenranta;Pakolaist ja turvapaik hak vastaano;63
61.067;28.183;Etelä-Karjala;Lappeenranta;Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus;6
61.067;28.183;Etelä-Karjala;Lappeenranta;Puolustushallinnon rakennuslaitos;12
61.067;28.183;Etelä-Karjala;Lappeenranta;Puolustusvoimat;283
61.067;28.183;Etelä-Karjala;Lappeenranta;Rajavartiolaitos;269
61.067;28.183;Etelä-Karjala;Lappeenranta;Rikosseuraamuslaitos;4
61.067;28.183;Etelä-Karjala;Lappeenranta;Suojelupoliisi;7
61.067;28.183;Etelä-Karjala;Lappeenranta;Syyttäjänvirastot;8
61.067;28.183;Etelä-Karjala;Lappeenranta;Tulli;239
61.067;28.183;Etelä-Karjala;Lappeenranta;Työ- ja elinkeinotoimistot;49
61.067;28.183;Etelä-Karjala;Lappeenranta;Ulosottovirastot;28
61.067;28.183;Etelä-Karjala;Lappeenranta;Valtiokonttori;4
61.067;28.183;Etelä-Karjala;Lappeenranta;Valtion tieto- ja viestintätekniikkakeskus Valtori;24
61.067;28.183;Etelä-Karjala;Lappeenranta;Verohallinto;67
61.556;29.501;Etelä-Karjala;Parikkala;Rajavartiolaitos;37
61.556;29.501;Etelä-Karjala;Parikkala;Tulli;2
61.556;29.501;Etelä-Karjala;Parikkala;Työ- ja elinkeinotoimistot;2
61.197;27.683;Etelä-Karjala;Savitaipale;Puolustusvoimat;8
63.000;23.817;Etelä-Pohjanmaa;Alajärvi;Maanmittauslaitos;11
63.000;23.817;Etelä-Pohjanmaa;Alajärvi;Paikallispoliisi;4
63.000;23.817;Etelä-Pohjanmaa;Alajärvi;Työ- ja elinkeinotoimistot;10
63.000;23.817;Etelä-Pohjanmaa;Alajärvi;Verohallinto;6
62.586;23.619;Etelä-Pohjanmaa;Alavus;Oikeusapu- ja edunvalvontapiirit;9
62.586;23.619;Etelä-Pohjanmaa;Alavus;Paikallispoliisi;22
