kunta;lat;lng;virastoja;virkamiehiä;teksti
Akaa;61.16666667;23.86805556;5;95;Käräjäoikeudet, 1<br/>Oikeusapu- ja edunvalvontapiirit, 3<br/>Rikosseuraamuslaitos, 79<br/>Työ- ja elinkeinotoimistot, 7<br/>Vankiterveydenhuollon yksikkö, 3
Alajärvi;63;23.81666667;4;31;Maanmittauslaitos, 11<br/>Paikallispoliisi, 4<br/>Työ- ja elinkeinotoimistot, 10<br/>Verohallinto, 6
Alavus;62.58611111;23.61944444;4;44;Oikeusapu- ja edunvalvontapiirit, 9<br/>Paikallispoliisi, 22<br/>Työ- ja elinkeinotoimistot, 1<br/>Verohallinto, 10
Aura;60.64722222;22.59027778;1;32;Rikosseuraamuslaitos, 31
Enonkoski;62.08888889;28.93333333;1;11;Luonnonvarakeskus, 11
Enontekiö;68.38472222;23.63888889;4;23;Ammatilliset koulut, 2<br/>Paikallispoliisi, 2<br/>Tulli, 16<br/>Työ- ja elinkeinotoimistot, 2
Espoo;60.20555556;24.65555556;12;1041;Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, 1<br/>Geologian tutkimuskeskus, 200<br/>Käräjäoikeudet, 88<br/>Maistraatit, 53<br/>Oikeusapu- ja edunvalvontapiirit, 29<br/>Paikallispoliisi, 394<br/>Puolustusvoimat, 34<br/>Syyttäjänvirastot, 33<br/>Tulli, 66<br/>Työ- ja elinkeinotoimistot, 101<br/>Ulosottovirastot, 41<br/>Valtion tieto- ja viestintätekniikkakeskus Valtori, 10
Eurajoki;61.20138889;21.73055556;2;8;Elintarviketurvallisuusvirasto, 4<br/>Säteilyturvakeskus, 4
Forssa;60.81388889;23.62222222;6;91;Elintarviketurvallisuusvirasto, 15<br/>Käräjäoikeudet, 3<br/>Oikeusapu- ja edunvalvontapiirit, 8<br/>Paikallispoliisi, 33<br/>Työ- ja elinkeinotoimistot, 20<br/>Ulosottovirastot, 7
Haapajärvi;63.74861111;25.31805556;7;164;Oikeusapu- ja edunvalvontapiirit, 11<br/>Paikallispoliisi, 29<br/>Puolustushallinnon rakennuslaitos, 14<br/>Puolustusvoimat, 87<br/>Työ- ja elinkeinotoimistot, 8<br/>Ulosottovirastot, 5<br/>Verohallinto, 11
Haapavesi;64.1375;25.36666667;1;12;Paikallispoliisi, 12
Hamina;60.56972222;27.19805556;5;386;Paikallispoliisi, 6<br/>Puolustushallinnon rakennuslaitos, 88<br/>Puolustusvoimat, 242<br/>Tulli, 34<br/>Työ- ja elinkeinotoimistot, 13
Hanko;59.82361111;22.96805556;3;43;Paikallispoliisi, 1<br/>Rajavartiolaitos, 9<br/>Tulli, 32
Harjavalta;61.31388889;22.14166667;1;20;Työ- ja elinkeinotoimistot, 20
Hartola;61.57916667;26.02083333;1;26;Puolustusvoimat, 26
Hattula;61.05555556;24.37083333;1;521;Puolustusvoimat, 518
Heinola;61.20277778;26.03194444;2;32;Paikallispoliisi, 20<br/>Työ- ja elinkeinotoimistot, 13
Heinävesi;62.42638889;28.63055556;1;1;Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, 1
